rule,kr*,ks*,r(0),r(1),r(2),s(0),s(1),s(2)
0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
1,0.5833333333333334,0.875,0.75,0.75,0.75,2.625,2.625,2.625
2,0.5833333333333334,0.3888888888888889,0.75,0.75,0.75,1.75,1.75,0.0
3,0.5833333333333334,0.3333333333333333,0.5,0.5,1.0,1.5,1.5,0.0
4,0.5833333333333334,0.3888888888888889,0.75,0.75,0.75,1.75,0.0,1.75
5,0.5833333333333334,0.3333333333333333,0.5,1.0,0.5,1.5,0.0,1.5
6,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,0.0,1.5,1.5
7,0.5,0.2777777777777778,0.25,0.75,0.75,0.0,1.25,1.25
8,0.5833333333333334,0.5555555555555556,0.75,0.75,0.75,1.5,1.75,1.75
9,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,0.0,1.5,1.5
10,0.5833333333333334,0.3888888888888889,0.5,1.0,0.5,1.0,1.5,1.0
11,0.5,0.2222222222222222,0.25,0.75,0.75,0.0,1.0,1.0
12,0.5833333333333334,0.3888888888888889,0.5,0.5,1.0,1.0,1.0,1.5
13,0.5,0.2222222222222222,0.25,0.75,0.75,0.0,1.0,1.0
14,0.5,0.2777777777777778,0.25,0.75,0.75,0.0,1.25,1.25
15,0.6666666666666666,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,1.0
16,0.5833333333333334,0.3888888888888889,0.75,0.75,0.75,0.0,1.75,1.75
17,0.5833333333333334,0.3333333333333333,1.0,0.5,0.5,0.0,1.5,1.5
18,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,1.5,0.0,1.5
19,0.5,0.2777777777777778,0.75,0.25,0.75,1.25,0.0,1.25
20,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,1.5,1.5,0.0
21,0.5,0.2777777777777778,0.75,0.75,0.25,1.25,1.25,0.0
22,0.16666666666666666,0.625,0.25,0.25,0.25,1.875,1.875,1.875
23,0.3333333333333333,0.5,0.5,0.5,0.5,1.5,1.5,1.5
24,0.25,0.4166666666666667,0.5,0.5,0.5,0.75,1.5,1.5
25,0.2916666666666667,0.2777777777777778,0.75,0.25,0.25,0.0,1.25,1.25
26,0.2916666666666667,0.2777777777777778,0.25,0.75,0.25,0.5,0.75,1.25
27,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.0,0.75,0.75
28,0.2916666666666667,0.2777777777777778,0.25,0.25,0.75,0.5,1.25,0.75
29,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.0,0.75,0.75
30,0.25,0.2916666666666667,0.0,0.5,0.5,0.375,1.125,1.125
31,0.5,0.16666666666666666,0.25,0.75,0.75,0.0,0.75,0.75
32,0.5833333333333334,0.3888888888888889,0.75,0.75,0.75,1.75,0.0,1.75
33,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,1.5,0.0,1.5
34,0.5833333333333334,0.3888888888888889,1.0,0.5,0.5,1.5,1.0,1.0
35,0.5,0.2222222222222222,0.75,0.25,0.75,1.0,0.0,1.0
36,0.25,0.3333333333333333,0.5,0.5,0.5,1.5,0.0,1.5
37,0.2916666666666667,0.2777777777777778,0.25,0.75,0.25,1.25,0.0,1.25
38,0.2916666666666667,0.2777777777777778,0.75,0.25,0.25,0.75,0.5,1.25
39,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.75,0.0,0.75
40,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,1.5,1.5,0.0
41,0.16666666666666666,0.2777777777777778,0.25,0.25,0.25,1.25,1.25,0.0
42,0.5,0.2777777777777778,0.75,0.75,0.25,1.25,1.25,0.0
43,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,1.0,1.0,0.0
44,0.2916666666666667,0.2777777777777778,0.25,0.25,0.75,1.25,0.5,0.75
45,0.25,0.16666666666666666,0.0,0.5,0.5,0.75,0.75,0.0
46,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,0.5,1.0,0.5
47,0.5,0.1111111111111111,0.25,0.75,0.75,0.5,0.5,0.0
48,0.5833333333333334,0.3888888888888889,0.5,0.5,1.0,1.0,1.0,1.5
49,0.5,0.2222222222222222,0.75,0.25,0.75,1.0,0.0,1.0
50,0.5,0.2777777777777778,0.75,0.25,0.75,1.25,0.0,1.25
51,0.6666666666666666,0.2222222222222222,1.0,0.0,1.0,1.0,0.0,1.0
52,0.2916666666666667,0.2777777777777778,0.25,0.25,0.75,1.25,0.5,0.75
53,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.75,0.0,0.75
54,0.25,0.2916666666666667,0.5,0.0,0.5,1.125,0.375,1.125
55,0.5,0.16666666666666666,0.75,0.25,0.75,0.75,0.0,0.75
56,0.2916666666666667,0.2777777777777778,0.25,0.25,0.75,0.5,1.25,0.75
57,0.25,0.16666666666666666,0.5,0.0,0.5,0.75,0.75,0.0
58,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,1.0,0.5,0.5
59,0.5,0.1111111111111111,0.75,0.25,0.75,0.5,0.5,0.0
60,0.3333333333333333,0.2222222222222222,0.0,0.0,1.0,1.0,1.0,0.0
61,0.2916666666666667,0.16666666666666666,0.25,0.25,0.75,0.75,0.75,0.0
62,0.2916666666666667,0.23611111111111113,0.25,0.25,0.75,0.875,0.875,0.375
63,0.5833333333333334,0.1111111111111111,0.5,0.5,1.0,0.5,0.5,0.0
64,0.5833333333333334,0.3888888888888889,0.75,0.75,0.75,1.75,1.75,0.0
65,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,1.5,1.5,0.0
66,0.25,0.3333333333333333,0.5,0.5,0.5,1.5,1.5,0.0
67,0.2916666666666667,0.2777777777777778,0.25,0.25,0.75,1.25,1.25,0.0
68,0.5833333333333334,0.3888888888888889,1.0,0.5,0.5,1.5,1.0,1.0
69,0.5,0.2222222222222222,0.75,0.75,0.25,1.0,1.0,0.0
70,0.2916666666666667,0.2777777777777778,0.75,0.25,0.25,0.75,1.25,0.5
71,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.75,0.75,0.0
72,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,1.5,0.0,1.5
73,0.16666666666666666,0.2777777777777778,0.25,0.25,0.25,1.25,0.0,1.25
74,0.2916666666666667,0.2777777777777778,0.25,0.75,0.25,1.25,0.75,0.5
75,0.25,0.16666666666666666,0.0,0.5,0.5,0.75,0.0,0.75
76,0.5,0.2777777777777778,0.75,0.25,0.75,1.25,0.0,1.25
77,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,1.0,0.0,1.0
78,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,0.5,0.5,1.0
79,0.5,0.1111111111111111,0.25,0.75,0.75,0.5,0.0,0.5
80,0.5833333333333334,0.3888888888888889,0.5,1.0,0.5,1.0,1.5,1.0
81,0.5,0.2222222222222222,0.75,0.75,0.25,1.0,1.0,0.0
82,0.2916666666666667,0.2777777777777778,0.25,0.75,0.25,1.25,0.75,0.5
83,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.75,0.75,0.0
84,0.5,0.2777777777777778,0.75,0.75,0.25,1.25,1.25,0.0
85,0.6666666666666666,0.2222222222222222,1.0,1.0,0.0,1.0,1.0,0.0
86,0.25,0.2916666666666667,0.5,0.5,0.0,1.125,1.125,0.375
87,0.5,0.16666666666666666,0.75,0.75,0.25,0.75,0.75,0.0
88,0.2916666666666667,0.2777777777777778,0.25,0.75,0.25,0.5,0.75,1.25
89,0.25,0.16666666666666666,0.5,0.5,0.0,0.75,0.0,0.75
90,0.3333333333333333,0.2222222222222222,0.0,1.0,0.0,1.0,0.0,1.0
91,0.2916666666666667,0.16666666666666666,0.25,0.75,0.25,0.75,0.0,0.75
92,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,1.0,0.5,0.5
93,0.5,0.1111111111111111,0.75,0.75,0.25,0.5,0.0,0.5
94,0.2916666666666667,0.23611111111111113,0.25,0.75,0.25,0.875,0.375,0.875
95,0.5833333333333334,0.1111111111111111,0.5,1.0,0.5,0.5,0.0,0.5
96,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,0.0,1.5,1.5
97,0.16666666666666666,0.2777777777777778,0.25,0.25,0.25,0.0,1.25,1.25
