,rule,"((0,), (1,), (2,))","((0,), (1,))","((0,), (2,))","((0,), (1, 2))","((0,),)","((1,), (2,))","((1,), (0, 2))","((2,), (0, 1))","((0, 1), (0, 2), (1, 2))","((0, 1), (0, 2))","((1,),)","((0, 1), (1, 2))","((0, 1),)","((2,),)","((0, 2), (1, 2))","((0, 2),)","((1, 2),)","((0, 1, 2),)"
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.2935644431995963,-0.05187968740985538,-0.05187968740985538,-0.05187968740985571,0.0,-0.05187968740985538,-0.05187968740985571,-0.05187968740985571,0.4362781244591333,0.0,0.0,0.0,-0.12499999999999978,0.0,0.0,-0.12499999999999978,-0.12499999999999978,0.4999999999999991
2,2,0.2935644431995963,-0.05187968740985538,-0.05187968740985538,-0.05187968740985571,0.0,-0.05187968740985538,-0.05187968740985571,-0.05187968740985571,0.4362781244591333,0.0,0.0,0.0,-0.12499999999999978,0.0,0.0,-0.12499999999999978,-0.12499999999999978,0.4999999999999991
3,3,0.5612781244591327,0.0,-0.10375937481971087,-0.14624062518028913,0.0,-0.10375937481971087,-0.14624062518028913,-0.10375937481971098,0.853759374819711,0.0,0.0,0.0,0.0,-0.25,3.3306690738754696e-16,-0.2500000000000001,-0.2500000000000001,0.7500000000000001
4,4,0.2935644431995963,-0.05187968740985538,-0.05187968740985538,-0.05187968740985571,0.0,-0.05187968740985538,-0.05187968740985571,-0.05187968740985571,0.4362781244591333,0.0,0.0,0.0,-0.12499999999999978,0.0,0.0,-0.12499999999999978,-0.12499999999999978,0.4999999999999991
5,5,0.5612781244591327,-0.10375937481971087,0.0,-0.14624062518028913,0.0,-0.10375937481971087,-0.10375937481971098,-0.14624062518028913,0.853759374819711,0.0,-0.25,2.220446049250313e-16,-0.25,0.0,-2.220446049250313e-16,2.220446049250313e-16,-0.24999999999999978,0.7499999999999998
6,6,0.45751874963942185,0.0,0.0,-0.14624062518028913,0.0,-0.45751874963942185,0.0,0.0,0.7075187496394221,-0.25,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-0.2499999999999999,0.7499999999999999
7,7,0.7469152532855431,0.0,0.0,-0.07312031259014451,-0.125,-0.5,-0.0731203125901444,-0.0731203125901444,0.9268796874098554,-2.220446049250313e-16,-0.125,-2.220446049250313e-16,4.440892098500626e-16,-0.125,-1.1102230246251565e-16,3.3306690738754696e-16,-0.49999999999999967,0.8749999999999994
8,8,0.2935644431995963,-0.05187968740985538,-0.05187968740985538,-0.05187968740985571,0.0,-0.05187968740985549,-0.0518796874098556,-0.0518796874098556,0.43627812445913317,0.0,0.0,0.0,-0.12499999999999978,0.0,0.0,-0.12499999999999978,-0.125,0.49999999999999933
9,9,0.45751874963942185,0.0,0.0,-0.14624062518028913,0.0,-0.45751874963942185,0.0,0.0,0.7075187496394221,-0.25,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-0.2499999999999999,0.7499999999999999
10,10,0.5612781244591327,-0.10375937481971087,0.0,-0.14624062518028913,0.0,-0.10375937481971087,-0.10375937481971098,-0.14624062518028913,0.853759374819711,0.0,-0.25,2.220446049250313e-16,-0.25,0.0,-2.220446049250313e-16,2.220446049250313e-16,-0.24999999999999978,0.7499999999999998
11,11,0.7469152532855431,0.0,0.0,-0.07312031259014451,-0.125,-0.4999999999999999,-0.07312031259014451,-0.07312031259014451,0.9268796874098555,-2.220446049250313e-16,-0.125,-2.220446049250313e-16,4.440892098500626e-16,-0.125,0.0,0.0,-0.5,0.875
12,12,0.5612781244591327,0.0,-0.10375937481971087,-0.14624062518028913,0.0,-0.10375937481971087,-0.14624062518028913,-0.10375937481971098,0.853759374819711,0.0,0.0,0.0,0.0,-0.25,3.3306690738754696e-16,-0.2500000000000001,-0.25000000000000033,0.7500000000000003
13,13,0.7469152532855431,0.0,0.0,-0.07312031259014451,-0.125,-0.4999999999999999,-0.07312031259014451,-0.07312031259014451,0.9268796874098555,-2.220446049250313e-16,-0.125,-2.220446049250313e-16,2.220446049250313e-16,-0.125,0.0,2.220446049250313e-16,-0.4999999999999998,0.8749999999999998
14,14,0.7469152532855431,0.0,0.0,-0.07312031259014451,-0.125,-0.4999999999999999,-0.07312031259014451,-0.07312031259014451,0.9268796874098555,-2.220446049250313e-16,-0.125,-2.220446049250313e-16,2.220446049250313e-16,-0.125,0.0,0.0,-0.4999999999999998,0.875
15,15,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
16,16,0.2935644431995963,-0.05187968740985538,-0.05187968740985538,-0.05187968740985571,0.0,-0.05187968740985538,-0.05187968740985571,-0.05187968740985571,0.4362781244591333,0.0,0.0,0.0,-0.12499999999999978,0.0,0.0,-0.12499999999999978,-0.12499999999999978,0.4999999999999991
17,17,0.5612781244591327,-0.10375937481971087,-0.10375937481971087,-0.10375937481971098,-0.25,0.0,-0.14624062518028913,-0.14624062518028913,0.853759374819711,2.220446049250313e-16,0.0,0.0,-0.25,0.0,-2.220446049250313e-16,-0.24999999999999978,2.220446049250313e-16,0.7499999999999998
18,18,0.45751874963942185,0.0,-0.45751874963942185,0.0,0.0,0.0,-0.14624062518028913,0.0,0.7075187496394221,0.0,0.0,-0.25,0.0,0.0,-1.1102230246251565e-16,-0.2499999999999999,1.1102230246251565e-16,0.7499999999999999
