,rule,"((0,), (1,), (2,))","((0,), (1,))","((0,), (2,))","((0,), (1, 2))","((0,),)","((1,), (2,))","((1,), (0, 2))","((2,), (0, 1))","((0, 1), (0, 2), (1, 2))","((0, 1), (0, 2))","((1,),)","((0, 1), (1, 2))","((0, 1),)","((2,),)","((0, 2), (1, 2))","((0, 2),)","((1, 2),)","((0, 1, 2),)"
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.01771368125953643,0.13792538097003004,0.0,0.01771368125953643,0.01771368125953643,0.0766472565108971
2,2,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.01771368125953643,0.13792538097003004,0.0,0.01771368125953643,0.01771368125953643,0.0766472565108971
3,3,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.18872187554086706,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.01771368125953643,0.13792538097003004,0.0,0.01771368125953643,0.01771368125953643,0.0766472565108971
5,5,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.18872187554086706,0.0,0.0
6,6,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.18872187554086706
7,7,0.0,0.0,0.0,0.0,0.5487949406953987,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
8,8,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.01771368125953643,0.13792538097003004,0.0,0.01771368125953643,0.01771368125953643,0.0766472565108971
9,9,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.18872187554086706
10,10,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.18872187554086706,0.0,0.0
11,11,0.0,0.0,0.0,0.0,0.5487949406953987,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
12,12,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.18872187554086706,0.0,0.0,0.0,0.0,0.0
13,13,0.0,0.0,0.0,0.0,0.5487949406953987,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
14,14,0.0,0.0,0.0,0.0,0.5487949406953987,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.01771368125953643,0.13792538097003004,0.0,0.01771368125953643,0.01771368125953643,0.0766472565108971
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.31127812445913294,0.0,0.0,0.18872187554086706,0.0
18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.18872187554086706
19,19,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.5487949406953987,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.31127812445913294,0.0,0.0,0.0,0.18872187554086706
21,21,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.5487949406953987,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
22,22,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,0.48751681623626575
