,rule,mean_transient,var_transient,mean_period,var_period,m_attractors,derrida_coeff
0,0,0.009160701961929925,-0.9908392980380707,0.0,,0.0,0.0
1,1,0.04804783813784044,-0.226965151608884,2.0816681711721685e-17,,0.724987010253276,0.375
2,2,0.052098764386049955,-0.406275644157274,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.375
3,3,0.09554081617721434,-0.09211126535198941,0.2547910379711713,0.1918333230594416,0.5575568804996256,0.5
4,4,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.375
5,5,0.06960808458812186,-0.08411635370863818,0.044866551175286366,-0.273236033726665,0.8014090105279541,0.5
6,6,0.16539742099522853,0.29967570184037173,0.2779294859629314,0.20911361477220963,0.3866669131445321,0.75
7,7,0.10189418264205302,0.11142794909809708,0.32337237765020915,0.6045868473331779,0.3201006434085924,0.625
8,8,0.04017774482717365,-0.29022813983242157,0.0,,0.0,0.375
9,9,0.25620708737366393,0.4513512834090692,0.2694985458787255,0.5581418253377789,0.26867027659417553,0.75
10,10,0.07387736485900465,-0.23660435443894987,0.21662050373287153,0.1181829853863068,0.4728977769691746,0.5
11,11,0.19521316905570024,0.26619471520563476,0.2276606688855587,0.2723467119021013,0.4559140395399604,0.625
12,12,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.5
13,13,0.1643094120613396,0.1936295994062223,-0.026842073275985562,-0.33558502437832405,0.37088987962363984,0.625
14,14,0.2823324137271294,0.32610921669625176,0.23153162444699785,0.16126004979822608,0.4318697821843264,0.625
15,15,,,0.20271926238527588,-0.1768026029556461,0.7972807376147247,0.5
16,16,0.052098764386049955,-0.406275644157274,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.375
17,17,0.09554081617721434,-0.09211126535198941,0.2547910379711713,0.1918333230594416,0.5575568804996256,0.5
18,18,0.21552910190819857,0.4229626449028545,0.18348383721893607,0.643791223474129,0.44099072481035506,0.75
19,19,0.05086646763171292,-0.07819608695926751,2.0816681711721685e-17,,0.724987010253276,0.625
20,20,0.16539742099522853,0.29967570184037173,0.2779294859629314,0.2091136147722096,0.3866669131445321,0.75
21,21,0.10189418264205302,0.11142794909809708,0.32337237765020915,0.6045868473331779,0.3201006434085924,0.625
22,22,0.26846582792064955,0.5012328364465455,0.28134993977568934,0.4954295628906329,0.3286385789895744,1.125
23,23,0.10104543125405621,0.10638463953971655,0.009849870051071727,-0.23578166877275236,0.7028371660998799,0.75
24,24,0.08515309894908125,-0.06107870144122041,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
25,25,0.3108331800617138,0.43417306414567636,0.2526611042160457,0.5687596209562882,0.31073800658651424,0.875
26,26,0.23056964235460273,0.39512207723521997,0.3345083565584799,0.36308061833002214,0.5555222252737688,0.875
27,27,inf,inf,0.2372453178721792,0.0874704513325138,0.550845926950936,0.75
28,28,0.21308990830205338,0.21162501086233454,0.0369944005296477,-0.3031573441579114,0.5499084980126104,0.875
29,29,inf,inf,0.0065510468129571925,-0.32853074169912366,0.8583854159388227,0.75
30,30,0.5591259045381175,1.1274363021329092,0.6467835276702376,1.4264544093424585,0.25187690323363826,1.0
31,31,0.10189418264205302,0.11142794909809708,0.32337237765020915,0.6045868473331779,0.3201006434085924,0.625
32,32,0.07454674161902075,0.06610985794719548,0.008999423088017792,-4.163336342344337e-17,0.015384615384615396,0.375
33,33,0.11810748642773966,0.10764393482842019,2.0816681711721685e-17,,0.7126870361509515,0.75
34,34,0.06596409611722823,-0.23798576009751354,0.22743693890874328,0.13968044465949764,0.4686132048765156,0.5
35,35,0.26459194966952143,0.39650939403429764,0.26520222997118403,0.2715802626499541,0.5318817203201416,0.625
36,36,0.09895391614855086,-0.070907379386041,0.0,,0.5416255914566767,0.75
37,37,0.2823644590371069,0.4823886626461389,0.02973453959242543,0.2976299235516168,0.5551052414343031,0.875
38,38,0.16657604018089092,0.021610509818170556,0.21662783257537857,0.019159136416389628,0.5325575758258108,0.875
39,39,inf,inf,0.2372453178721792,0.0874704513325138,0.550845926950936,0.75
40,40,0.15287160935273034,0.17152806682846528,0.2168777760680538,0.4904085069724809,0.15401210355558606,0.75
41,41,0.41712589305818104,0.6777548688679083,0.255513779195488,0.8505123354129186,0.2765132032751602,1.125
42,42,0.14156543716242326,0.01718832462972186,0.2095579349777299,-0.0331864210757747,0.6660649524895694,0.625
43,43,inf,inf,0.2098475638356442,0.3144072363574749,0.5038941275644979,0.75
