,rule,n_cells,m_attractors,max_period,max_transient,derrida_coeff,transient_to_attractor
0,0,12,1,1,1,0.0,4095.0
1,0,14,1,1,1,0.0,16383.0
2,0,16,1,1,1,0.0,65535.0
3,1,12,162,2,1,0.375,11.641975308641975
4,1,14,421,2,1,0.375,18.458432304038006
5,1,16,1103,2,1,0.375,28.70806890299184
6,2,12,11,12,1,0.375,40.795918367346935
7,2,14,17,14,1,0.375,76.64928909952607
8,2,16,31,16,1,0.375,143.6710816777042
9,3,12,39,24,1,0.5,3.801875732708089
10,3,14,97,28,1,0.5,5.236771983250857
11,3,16,257,32,1,0.5,7.100865265760198
12,4,12,322,1,1,0.375,11.720496894409937
13,4,14,843,1,1,0.375,18.43534994068802
14,4,16,2207,1,1,0.375,28.694608065246943
15,5,12,435,2,1,0.5,3.8703923900118906
16,5,14,1326,2,1,0.5,5.299115724721261
17,5,16,4095,2,1,0.5,7.090864197530864
18,6,12,28,12,6,0.75,14.574144486692015
19,6,14,50,14,6,0.75,24.88309636650869
20,6,16,92,16,8,0.75,47.08217168011739
21,7,12,10,24,11,0.625,24.6
22,7,14,18,28,13,0.625,41.11825192802056
23,7,16,32,32,15,0.625,71.81777777777778
24,8,12,1,1,2,0.375,4095.0
25,8,14,1,1,2,0.375,16383.0
26,8,16,1,1,2,0.375,65535.0
27,9,12,14,18,14,0.75,25.256410256410255
28,9,14,40,21,11,0.75,41.3359173126615
29,9,16,27,24,20,0.75,138.43829787234043
30,10,12,31,12,1,0.5,11.641975308641975
31,10,14,63,14,1,0.5,18.48156956004756
32,10,16,143,16,1,0.5,28.667722951561792
33,11,12,32,12,6,0.625,11.525993883792049
34,11,14,65,14,6,0.625,17.984936268829664
35,11,16,143,16,8,0.625,28.494149414941493
36,12,12,322,1,1,0.5,11.720496894409937
37,12,14,843,1,1,0.5,18.43534994068802
38,12,16,2207,1,1,0.5,28.694608065246943
39,13,12,30,2,10,0.625,131.1290322580645
40,13,14,52,2,12,0.625,308.1320754716981
41,13,16,91,2,14,0.625,711.3478260869565
42,14,12,36,12,6,0.625,10.160762942779291
43,14,14,72,14,6,0.625,16.541755888650965
44,14,16,155,16,8,0.625,26.594105263157896
45,15,12,352,12,0,0.5,0.0
46,15,14,1182,14,0,0.5,0.0
47,15,16,4116,16,0,0.5,0.0
48,16,12,11,12,1,0.375,40.795918367346935
49,16,14,17,14,1,0.375,76.64928909952607
50,16,16,31,16,1,0.375,143.6710816777042
51,17,12,39,24,1,0.5,3.801875732708089
52,17,14,97,28,1,0.5,5.236771983250857
53,17,16,257,32,1,0.5,7.100865265760198
54,18,12,20,36,8,0.75,20.445026178010473
55,18,14,45,14,17,0.75,82.16751269035532
56,18,16,79,14,20,0.75,116.65888689407541
57,19,12,162,2,2,0.625,11.641975308641975
58,19,14,421,2,2,0.625,18.458432304038006
59,19,16,1103,2,2,0.625,28.70806890299184
60,20,12,28,12,6,0.75,14.574144486692015
61,20,14,50,14,6,0.75,24.88309636650869
62,20,16,92,16,8,0.75,47.08217168011739
63,21,12,10,24,11,0.625,24.6
64,21,14,18,28,13,0.625,41.11825192802056
65,21,16,32,32,15,0.625,71.81777777777778
66,22,12,23,5,23,1.125,44.010989010989015
67,22,14,19,12,25,1.125,87.56216216216217
68,22,16,45,14,41,1.125,145.61297539149888
69,23,12,164,2,5,0.75,11.56441717791411
70,23,14,423,2,6,0.75,18.412322274881518
71,23,16,1105,2,7,0.75,28.681159420289855
72,24,12,11,12,2,0.75,40.795918367346935
73,24,14,17,14,2,0.75,76.64928909952607
74,24,16,31,16,2,0.75,143.6710816777042
75,25,12,21,30,11,0.875,13.27177700348432
76,25,14,11,42,17,0.875,58.57818181818182
77,25,16,16,48,23,0.875,117.29602888086643
78,26,12,64,24,15,0.875,3.835891381345927
79,26,14,76,56,11,0.875,4.706722396377569
80,26,16,552,32,18,0.875,6.459988616960729
81,27,12,44,24,5,0.75,3.5612472160356345
82,27,14,97,28,8,0.75,5.236771983250857
83,27,16,257,32,9,0.75,7.100865265760198
84,28,12,75,2,11,0.875,26.86394557823129
85,28,14,185,2,13,0.875,43.643051771117165
86,28,16,419,2,15,0.875,77.48622754491018
87,29,12,751,2,1,0.75,1.7306666666666666
88,29,14,2537,2,1,0.75,2.230283911671924
89,29,16,8579,2,1,0.75,2.8200046630916296
90,30,12,12,102,126,1.0,8.503480278422273
91,30,14,18,1428,127,1.0,6.869356388088376
92,30,16,9,6016,287,1.0,5.3682829656981825
93,31,12,10,24,11,0.625,24.6
