,rule,"((1,),)","((0,),)","((0, 1),)","((0,), (1,))"
0,0,0.0,0.0,0.0,0.0
1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.4999999999999999,0.31127812445913283
2,2,0.0,0.0,0.5,0.31127812445913294
3,3,0.0,1.0,0.0,0.0
4,4,0.0,0.0,0.5,0.31127812445913294
5,5,1.0,0.0,0.0,0.0
6,6,7.2299317643853556e-09,5.417651882666519e-09,0.9999999873524164,0.0
7,7,0.0,0.0,0.5,0.31127812445913294
8,8,0.0,0.0,0.5,0.31127812445913294
9,9,0.0,0.0,1.0,0.0
10,10,1.0,0.0,0.0,0.0
11,11,0.0,0.0,0.5,0.31127812445913294
12,12,0.0,1.0,0.0,0.0
13,13,0.0,0.0,0.5,0.31127812445913294
14,14,-2.220446049250313e-16,-2.220446049250313e-16,0.5000000000000002,0.31127812445913317
15,15,0.0,0.0,0.0,0.0
