,rule,"((0,), (1,))","((0,),)","((1,),)","((0, 1),)"
0,0,0.0,0.0,0.0,0.0
1,1,0.3112781244591328,0.0,0.0,0.49999999999999994
2,2,0.3112781244591328,0.0,0.0,0.49999999999999994
3,3,0.0,1.0,0.0,0.0
4,4,0.3112781244591328,0.0,0.0,0.49999999999999994
5,5,0.0,0.0,1.0,0.0
6,6,0.0,0.0,0.0,1.0
7,7,0.3112781244591328,0.0,0.0,0.49999999999999994
8,8,0.3112781244591328,0.0,0.0,0.49999999999999994
9,9,0.0,0.0,0.0,1.0
10,10,0.0,0.0,1.0,0.0
11,11,0.3112781244591328,0.0,0.0,0.49999999999999994
12,12,0.0,1.0,0.0,0.0
13,13,0.3112781244591328,0.0,0.0,0.49999999999999994
14,14,0.3112781244591328,0.0,0.0,0.49999999999999994
15,15,0.0,0.0,0.0,0.0
