,rule,"((0,), (1,))","((0,),)","((1,),)","((0, 1),)"
0,0,0.0,0.0,0.0,0.0
1,1,0.5612781244591327,-0.25,-0.25,0.75
2,2,0.5612781244591327,-0.25,-0.25,0.75
3,3,1.0,0.0,-1.0,1.0
4,4,0.5612781244591327,-0.25,-0.25,0.75
5,5,1.0,-1.0,0.0,1.0
6,6,0.0,0.0,0.0,1.0
7,7,0.5612781244591327,-0.25,-0.25,0.75
8,8,0.5612781244591327,-0.25,-0.25,0.75
9,9,0.0,0.0,0.0,1.0
10,10,1.0,-1.0,0.0,1.0
11,11,0.5612781244591327,-0.25,-0.25,0.75
12,12,1.0,0.0,-1.0,1.0
13,13,0.5612781244591327,-0.25,-0.25,0.75
14,14,0.5612781244591327,-0.25,-0.25,0.75
15,15,0.0,0.0,0.0,0.0
